Time,H_NoDerating,H_WithDerating
0.0,1.0022835707650561,1.0022835707650561
0.01,1.0013922492592002,1.0013922492592002
0.02,1.0044306919497037,1.0044306919497037
0.03,1.011845841231744,1.011845841231744
0.04,1.0104750743581272,1.0104750743581272
0.05,1.0091043895733813,1.0091043895733813
0.06,1.0168004536509183,1.0168004536509183
0.07,1.0204376272966829,1.0204376272966829
0.08,1.0178902553670082,1.0178902553670082
0.09,1.020403055584938,1.020403055584938
0.1,1.0178859671208755,1.0178859671208755
0.11,1.0153573183530242,1.0153573183530242
0.12,1.0163671297108543,1.0163671297108543
0.13,1.0066007284875653,1.0066007284875653
0.14,0.9977761393250002,0.9977761393250002
0.15,0.9947647016787954,0.9947647016787954
0.16,0.9895005460771232,0.9895005460771232
0.17,0.9908717827400996,0.9908717827400996
0.18,0.9861316623624935,0.9861316623624935
0.19,0.978870143855817,0.978870143855817
0.2,0.9859983877004248,0.9859983877004248
0.21,0.9846695061979921,0.9846695061979921
0.22,0.9848071472214317,0.9848071472214317
0.23,0.9774834062903645,0.9774834062903645
0.24,0.9745614926677385,0.9745614926677385
0.25,0.9749161056162878,0.9749161056162878
0.26,0.9689611377291764,0.9689611377291764
0.27,0.9706396278209047,0.9706396278209047
0.28,0.9674364343713107,0.9674364343713107
0.29,0.9657779656223443,0.9657779656223443
0.3,0.9625694325611973,0.9625694325611973
0.31,0.971630823483742,0.971630823483742
0.32,0.9713633373600523,0.9713633373600523
0.33,0.9658747827152728,0.9658747827152728
0.34,0.9697875072757888,0.9697875072757888
0.35000000000000003,0.9634832890259336,0.9634832890259336
0.36,0.9643276070009574,0.9643276070009574
0.37,0.9543292563815585,0.9543292563815585
0.38,0.9474883261370664,0.9474883261370664
0.39,0.948272632316412,0.948272632316412
0.4,0.9517649652163891,0.9517649652163891
0.41000000000000003,0.952421806622339,0.952421806622339
0.42,0.9516435652103978,0.9516435652103978
0.43,0.9499380467324514,0.9499380467324514
0.44,0.9423454367806143,0.9423454367806143
0.45,0.9385462157386408,0.9385462157386408
0.46,0.9360430218838419,0.9360430218838419
0.47000000000000003,0.9411286330149365,0.9411286330149365
0.48,0.9426467244627789,0.9426467244627789
0.49,0.9336315236859651,0.9336315236859651
0.5,0.9350519435329391,0.9350519435329391
0.51,0.9329265321308575,0.9329265321308575
0.52,0.9293419221293278,0.9293419221293278
0.53,0.9322003035735321,0.9322003035735321
0.54,0.9371553011860119,0.9371553011860119
0.55,0.9416117017815928,0.9416117017815928
0.56,0.9372156141654796,0.9372156141654796
0.5700000000000001,0.9354695522862235,0.9354695522862235
0.58,0.9369258694432413,0.9369258694432413
0.59,0.941603595078853,0.941603595078853
0.6,0.9390077238896266,0.9390077238896266
0.61,0.9378794290063075,0.9378794290063075
0.62,0.9321477541362774,0.9321477541362774
0.63,0.9259667210158741,0.9259667210158741
0.64,0.9298293501278451,0.9298293501278451
0.65,0.9364105502706992,0.9364105502706992
0.66,0.9358504996627975,0.9358504996627975
0.67,0.9406681641522576,0.9406681641522576
0.68,0.9422763442774958,0.9422763442774958
0.6900000000000001,0.9388507455044702,0.9388507455044702
0.7000000000000001,0.9404577235320123,0.9404577235320123
0.71,0.9479479063643421,0.9479479063643421
0.72,0.9475687761687923,0.9475687761687923
0.73,0.9551919944478623,0.9551919944478623
0.74,0.9418932689274135,0.9418932689274135
0.75,0.9458027814492896,0.9458027814492896
0.76,0.9460380167904805,0.9460380167904805
0.77,0.9443429800381512,0.9443429800381512
0.78,0.9446017839208287,0.9446017839208287
0.79,0.9344639393478242,0.9344639393478242
0.8,0.9331655799086367,0.9331655799086367
0.81,0.9347511427661954,0.9347511427661954
0.8200000000000001,0.941940612989903,0.941940612989903
0.8300000000000001,0.9391492618985348,0.9391492618985348
0.84,0.9349067938840688,0.9349067938840688
0.85,0.9321980086661461,0.9321980086661461
0.86,0.9365750192546565,0.9365750192546565
0.87,0.9380187748029549,0.9380187748029549
0.88,0.9351699737841197,0.9351699737841197
0.89,0.9375363109496865,0.9375363109496865
0.9,0.9378216986964267,0.9378216986964267
0.91,0.9424649236490912,0.9424649236490912
0.92,0.9387546581797044,0.9387546581797044
0.93,0.9369163474467156,0.9369163474467156
0.9400000000000001,0.9347558066810548,0.9347558066810548
0.9500000000000001,0.9272382319403942,0.9272382319403942
0.96,0.9285188333257172,0.9285188333257172
0.97,0.9296241096866166,0.9296241096866166
0.98,0.9294496769698288,0.9294496769698288
0.99,0.9280767413029531,0.9280767413029531
1.0,0.920799887592701,0.920799887592701
1.01,0.9184966609788743,0.9184966609788743
1.02,0.9165830883962405,0.9165830883962405
1.03,0.9123717020501324,0.9123717020501324
1.04,0.9113652734918024,0.9113652734918024
1.05,0.9131855277758751,0.9131855277758751
1.06,0.9224164572819278,0.9224164572819278
1.07,0.923089346346087,0.923089346346087
1.08,0.9241770982997007,0.9241770982997007
1.09,0.9236048687208699,0.9236048687208699
1.1,0.9138110126443747,0.9138110126443747
1.11,0.9134784432671286,0.9134784432671286
1.12,0.9135795943168337,0.9135795943168337
1.1300000000000001,0.9256958048792601,0.9256958048792601
1.1400000000000001,0.9245340000553545,0.9245340000553545
