Time,RiskA,RiskB,RiskC,RiskD,RiskE
0.0,0.0,0.8,0.0,0.0,0.0
0.10101010101010101,0.048017632671562324,0.7761212029573041,0.029103070297344172,0.0009603039895162051,4.801276640335542e-05
0.20202020202020202,0.09130544467629115,0.7529551520998661,0.055901254248322346,0.0036153291824414114,0.00035788131649082443
0.30303030303030304,0.13021285771038021,0.7304805730258099,0.08053145753888244,0.007656133315658225,0.0011253953407102566
0.40404040404040403,0.16506634770519826,0.7086768263421654,0.10312335747567405,0.012810500055973976,0.0024854992244876147
0.5050505050505051,0.19617085745097873,0.6875238887108075,0.12379976077889868,0.018839320347893027,0.004523097821235086
0.6060606060606061,0.2238111257329691,0.6670023344601446,0.14267694437341016,0.02553329397241061,0.007282358047957206
0.7070707070707071,0.24825293777718038,0.6470933177456718,0.1598649799635204,0.03270992489874111,0.010774688070777319
0.8080808080808081,0.2697443015328607,0.6277785552430047,0.1754680431414184,0.040210786085398874,0.0149855558432319
0.9090909090909091,0.2885165540637645,0.609040309357499,0.18958470774514874,0.04789903130452971,0.019880290815178447
1.0101010101010102,0.30478540207937355,0.5908613719350385,0.20230822614964555,0.05565713333539879,0.02540899654298108
1.1111111111111112,0.3187519004096849,0.5732250484590314,0.2137267961433182,0.06338482951019656,0.031510687519610885
1.2121212121212122,0.33060337201226875,0.556115142719103,0.22392381501306496,0.07099725710777968,0.0381167506410152
1.3131313131313131,0.3405142728973341,0.5395159419374038,0.2329781214322963,0.07842326248784898,0.045153820182835355
1.4141414141414141,0.34864700516486047,0.5234122023388762,0.2409642257195182,0.08560386914794663,0.05254614484379161
1.5151515151515151,0.35515268116684495,0.5077891351522256,0.24795252900920156,0.09249089107647682,0.06021751619623775
1.6161616161616161,0.3601718416367819,0.49263239302874295,0.25400953185199904,0.09904567887408461,0.06809281965968698
1.7171717171717171,0.36383513046709565,0.47792805686650425,0.25919803273780273,0.10523798713000526,0.07609926177934564
1.8181818181818181,0.3662639286628482,0.4636626230278476,0.26357731701263204,0.11104495247575617,0.08416732105834676
1.9191919191919191,0.3675709498561574,0.4498229909383902,0.26720333663883933,0.11645017260166375,0.09223146377770061
2.0202020202020203,0.3678607996299141,0.4363964510561948,0.27012888122758644,0.12144287731764733,0.10023066106817256
2.121212121212121,0.3672305007711363,0.42337067320004024,0.2724037407529301,0.12601718347346919,0.10810873890675862
2.2222222222222223,0.36576998645322845,0.4107336952260736,0.2740748603381249,0.13017142622998856,0.11581458863708656
2.323232323232323,0.36356256323212444,0.39847391204244875,0.2751864874868557,0.13390755979616328,0.1233022620037645
2.4242424242424243,0.36068534563341254,0.38658006495186037,0.27578031211502935,0.137230621320647,0.1305309714966298
2.525252525252525,0.35720966400571447,0.3750412313121883,0.2758955997224355,0.14014825215555404,0.13746501397805502
2.6262626262626263,0.35320144721948343,0.3638468145057552,0.275569318028003,0.14267027119676265,0.14407363307538412
2.727272727272727,0.34872158169968265,0.3529865342079872,0.2748362573774965,0.1448082954531894,0.15033083362558397
2.8282828282828283,0.34382624819520563,0.34245041694654077,0.2737291452182897,0.14657540340975717,0.156215159528305
2.929292929292929,0.3385672376071204,0.33222878694222446,0.2722787549222809,0.14798583712803343,0.16170944466795822
3.0303030303030303,0.33299224712159636,0.3223122572233064,0.27051400922505936,0.14905473937727104,0.16680054507930675
3.131313131313131,0.32714515782144943,0.31269172100504583,0.268462078537062,0.14979792240919068,0.1714790592312311
3.2323232323232323,0.321066294882377,0.30335834332653233,0.26614847437064587,0.15023166528447016,0.17573904216895025
3.3333333333333335,0.3147926713959364,0.2943035529371539,0.2635971381157267,0.1503725369295697,0.1795777182674168
3.4343434343434343,0.30835821680091396,0.2855190344252406,0.2608305253858651,0.150237242351075,0.18299519649113458
3.5353535353535355,0.3017939908477575,0.2769967205816571,0.25786968614640415,0.1498424896629106,0.18599419131332173
3.6363636363636362,0.2951283839669967,0.26872878499132996,0.2547343408264509,0.14920487579114963,0.18857975180677544
3.7373737373737375,0.2883873048618787,0.26070763484590714,0.2514429526071226,0.14834078891320124,0.19075900086803466
3.8383838383838382,0.2815943560976341,0.2529259039709488,0.24801279606954257,0.1472663258642441,0.19254088606479652
3.9393939393939394,0.27477099841469127,0.24537644606124542,0.24446002237752978,0.14599722290516515,0.19393594319451304
4.040404040404041,0.2679367044506324,0.23805232811805227,0.2407997211617827,0.14454879839410475,0.1949560733011605
4.141414141414141,0.26110910251558267,0.2309468240822121,0.23704597926457943,0.14293590603908846,0.19561433360979677
4.242424242424242,0.25430411102791106,0.22405340865731913,0.23321193649659577,0.14117289753312773,0.19592474259796375
4.343434343434343,0.24753606418147048,0.2173657513172537,0.22930983855035791,0.13927359348651525,0.1959020992232765
4.444444444444445,0.2408178293819908,0.21087771049258142,0.22535108720808808,0.13725126167466975,0.19556181616236906
4.545454545454545,0.23416091695855498,0.2045833279304805,0.2213462879752475,0.13511860171458717,0.19491976678303483
4.646464646464646,0.22757558262621455,0.1984768232230165,0.2173052952649271,0.13288773536944304,0.193992145464741
4.747474747474747,0.2210709231476505,0.19255258849873969,0.21323725525235987,0.13057020175983483,0.19279534079904112
4.848484848484849,0.21465496561524552,0.1868051832727307,0.2091506465132232,0.12817695683217084,0.1913458211374976
4.94949494949495,0.20833475074992744,0.1812293294503643,0.20505331855405134,0.12571837650036005,0.1896600319077084
5.05050505050505,0.20211641058957544,0.17581990648020293,0.20095252833797425,0.12320426293676703,0.18775430408537694
5.151515151515151,0.19600524091757274,0.17057194665156972,0.19685497490412918,0.12064385354284633,0.185644773189874
5.252525252525253,0.19000576876116637,0.16548063053248174,0.1927668321744474,0.11804583217940225,0.18334730816046174
5.353535353535354,0.18412181526958005,0.1605412825437536,0.18869378003708637,0.11541834228144525,0.18087744946860962
5.454545454545454,0.17835655426325508,0.15574936666520817,0.18464103379154767,0.11276900152351295,0.17825035582712515
5.555555555555555,0.17271256672810087,0.1511004822700495,0.18061337203649308,0.11010491773843335,0.17548075886788833
5.656565656565657,0.1671918915121589,0.14659036008357448,0.17661516307741948,0.10743270582615748,0.1725829251756854
5.757575757575758,0.16179607246656472,0.14221485826251026,0.17265038992768608,0.10475850541976504,0.16957062508502482
5.858585858585858,0.15652620225807878,0.13796995859137748,0.16872267397289017,0.10208799910332553,0.16645710766905614
5.959595959595959,0.15138296306669513,0.13385176279238664,0.16483529736524485,0.09942643100122552,0.1632550813740866
6.0606060606060606,0.14636666436887918,0.12985648894547855,0.16099122421143414,0.09677862558107891,0.15997669977908754
6.161616161616162,0.1414772779947873,0.12598046801522086,0.15719312061438298,0.09414900653263078,0.15663355198648835
6.262626262626262,0.13671447063633654,0.12222014048137175,0.15344337362648441,0.09154161560334455,0.15323665717803053
6.363636363636363,0.13207763397218436,0.11857205307001616,0.14974410916906764,0.08896013128779669,0.1497964628971302
6.4646464646464645,0.1275659125655031,0.11503285558227282,0.1460972089702586,0.086407887282764,0.14632284664676792
6.565656565656566,0.12317822968086055,0.11159929781765923,0.14250432657087478,0.08388789063311808,0.14282512041913645
6.666666666666667,0.11891331115750799,0.10826822658929017,0.13896690244560303,0.08140283950548526,0.139312037799929
6.767676767676767,0.11476970746790033,0.10503658282816733,0.13548617828443163,0.07895514053720384,0.1357918033160702
6.8686868686868685,0.11074581408229771,0.10190139877390217,0.13206321047712893,0.07654692571754138,0.13227208372075633
6.96969696969697,0.10683989025279701,0.09885979524929113,0.12869888284149314,0.07418006876651607,0.12876002093377742
7.070707070707071,0.10305007632308362,0.09590897901624076,0.1253939186341191,0.07185620098410683,0.12526224637816577
7.171717171717171,0.09937440966356041,0.09304624021061453,0.12214889188054652,0.06957672654921608,0.12178489647620787
7.2727272727272725,0.09581083932526813,0.09026894985364553,0.11896423805985853,0.06734283725355349,0.118333629088733
7.373737373737374,0.09235723950014668,0.08757455743762993,0.11584026417709241,0.06515552666071102,0.11491364070133026
7.474747474747475,0.08901142186966829,0.08496058858368358,0.1127771582551889,0.06301560368516769,0.11152968417975784
7.575757575757575,0.08577114691869102,0.08242464276941136,0.10977499827665939,0.060923705589856984,0.108186086934286
7.6767676767676765,0.08263413428650605,0.07996439112440201,0.10683376060366698,0.058880310404310264,0.10488676934908187
7.777777777777778,0.0795980722224741,0.07757757429152408,0.10395332790380926,0.05688574876830438,0.1016352633480292
7.878787878787879,0.07666062620934175,0.0752620003520591,0.10113349660754554,0.05494021520844093,0.098434730982604
7.979797979797979,0.0738194468132873,0.07301554281276647,0.09837398392193464,0.05304377885720866,0.09528798294062835
8.080808080808081,0.07107217681594687,0.07083613865303102,0.09567443442412728,0.05119639362586917,0.09219749688695453
8.181818181818182,0.06841645768010636,0.06872178643030104,0.09303442625689815,0.04939790784399852,0.08916543555841326
8.282828282828282,0.06584993539739331,0.06667054444207525,0.09045347694739576,0.04764807337973669,0.08619366454574554
8.383838383838384,0.06337026576316059,0.06468052894275228,0.08793104886923576,0.045946554255784866,0.08328376970477505
8.484848484848484,0.06097511912079921,0.06274991241370453,0.0854665543670592,0.04429293477696326,0.08043707414780234
8.585858585858587,0.05866218461494752,0.060876921884987306,0.08305936056172324,0.04268672718572859,0.07765465477416439
8.686868686868687,0.056429173990463766,0.05905983730714272,0.08070879385338187,0.04112737886247361,0.07493735830615249
8.787878787878787,0.05427382497158755,0.057296989971602846,0.07841414413884742,0.03961427908770675,0.07228581680304677
8.88888888888889,0.05219390425342827,0.05558676097824124,0.07617466875880097,0.038146765383359545,0.06970046263196988
8.98989898989899,0.050187210135769676,0.0539275797486659,0.07398959618963326,0.036724129450507945,0.06718154287960908
9.09090909090909,0.04825157482716673,0.05231792258388817,0.07185812949395108,0.035345622720734944,0.0647291331936561
9.191919191919192,0.0463848664454234,0.050756311265042986,0.0697794495430739,0.034010461538220224,0.06234315104710645
9.292929292929292,0.044584990738769044,0.049241311695875666,0.06775271802416723,0.032717831989428924,0.06002336842237354
9.393939393939394,0.042849892550392454,0.04777153258574821,0.06577708024401607,0.03146689439699763,0.05776942391555261
9.494949494949495,0.04117755704743903,0.04634562417195622,0.06385166774082905,0.030256787494089003,0.05558083426414658
9.595959595959595,0.03956601073411839,0.044962276980182216,0.061975600714879536,0.029086632295117643,0.05345700530416589
9.696969696969697,0.038013322267207855,0.04362022062194813,0.060147990288236475,0.02795553567834607,0.051397242364780785
9.797979797979798,0.03651760309095799,0.042318222627961755,0.058367940603309056,0.026862593695415344,0.04940076011065198
9.8989898989899,0.03507700790721147,0.04105508731628584,0.05663455076942716,0.025806894622419897,0.04746669184373072
10.0,0.03368973499542734,0.03982965469429116,0.054946916666202536,0.024787521766663587,0.045594098277725814
