H,B_Normal,B_Saturated
0.2864321608040199,0.41827151811235835,0.48603275617203673
0.316582914572864,0.4596208720973125,0.5305551493148787
0.3467336683417086,0.5002134260255501,0.5733330918657072
0.37688442211055273,0.5399980689152084,0.6143026486376569
0.40703517587939686,0.5789285780465216,0.6534193037701537
0.437185929648241,0.6169637279321467,0.6906569126022756
0.4673366834170851,0.654067343139607,0.726006382671283
0.4974874371859297,0.6902082976531286,0.7594741547169594
0.5276381909547738,0.7253604642607921,0.7910805518466153
0.557788944723618,0.7595026181035875,0.8208580595643892
0.5879396984924621,0.7926182990205628,0.8488495919992435
0.6180904522613062,0.8246956376697174,0.8751067911522322
0.6482412060301508,0.8557271506035469,0.8996883970108083
0.6783919597989949,0.8857095095415817,0.922658717511565
0.708542713567839,0.9146432900234913,0.944086219004319
0.7386934673366832,0.9425327044613122,0.9640422503786289
0.7688442211055273,0.9693853243555084,0.9825999075372163
0.7989949748743719,0.9952117961146949,0.9998330395159953
0.829145728643216,1.0200255545406507,1.015815393254165
0.8592964824120601,1.043842537625423,1.0306198907482014
0.8894472361809043,1.0666809058713347,1.0443180299800832
0.9195979899497484,1.0885607689012748,1.0569793994703762
0.949748743718593,1.1095039216876093,1.0686712954401518
0.9798994974874371,1.129533592303218,1.0794584302430135
1.0100502512562812,1.148674202695458,1.0894027208290653
1.0402010050251258,1.1669511436091204,1.0985631464185133
1.0703517587939695,1.18439056444198,1.106995665200594
1.100502512562814,1.201019178508861,1.1147531806559312
1.1306532663316577,1.2168640839185036,1.121885548964318
1.1608040201005023,1.231952600032035,1.1284396198561242
1.190954773869347,1.246312119271549,1.13445930415676
1.2211055276381906,1.25996997388071,1.13998566213299
1.2512562814070352,1.2729533171041403,1.1450570075588684
1.2814070351758788,1.2852890181461571,1.1497090231660503
1.3115577889447234,1.297003570189453,1.1539748838219095
1.341708542713568,1.3081230106975954,1.1578853843870005
1.3718592964824117,1.3186728531890017,1.1614690697417085
1.4020100502512562,1.3286780296514014,1.1647523649431881
1.4321608040201,1.3381628427621286,1.16775970388214
1.4623115577889445,1.3471509270883648,1.17051365515961
1.492462311557789,1.3556652184603575,1.1730350442022361
1.5226130653266328,1.363727930737654,1.1753430708857744
1.5527638190954773,1.3713605392215817,1.177455422146696
1.582914572864321,1.3785837700050234,1.1793883792353368
1.6130653266331656,1.3854175945915281,1.181156919406283
1.6432160804020102,1.391881229158755,1.182774811956789
1.6733668341708539,1.3979931378852046,1.1842547086160033
1.7035175879396984,1.4037710398032452,1.1856082283601443
1.7336683417085421,1.409231918684959,1.186846036784647
1.7638190954773867,1.414392035509763,1.1879779202064042
1.7939698492462313,1.4192669431036555,1.1890128546999108
1.824120603015075,1.4238715025790187,1.1899590702924197
1.8542713567839195,1.4282199012409413,1.1908241105568849
1.8844221105527632,1.432325671660842,1.1916148878489357
1.9145728643216078,1.4362017116507262,1.1923377344367088
1.9447236180904524,1.4398603049016319,1.1929984497710244
1.974874371859296,1.4433131420777525,1.1936023441390962
2.0050251256281406,1.4465713421833937,1.1941542789383393
2.0351758793969843,1.4496454740433933,1.194658703798574
2.065326633165829,1.452545577759027,1.195119690771425
2.0954773869346734,1.4552811860207988,1.195540965795443
2.125628140703517,1.4578613451770264,1.1959259376347082
2.1557788944723617,1.4602946359728644,1.1962777244776872
2.1859296482412054,1.462589193888514,1.1965991783720957
2.21608040201005,1.464752729017935,1.196892907660638
2.2462311557788945,1.4667925454405468,1.1971612975718509
2.2763819095477382,1.4687155600482944,1.1974065291099818
2.306532663316583,1.4705283207991515,1.1976305963779312
2.3366834170854265,1.4722370243757736,1.1978353224578244
2.366834170854271,1.4738475332346737,1.1980223739648028
2.3969849246231156,1.4753653920370757,1.1981932743811199
2.4271356783919593,1.4767958434575978,1.1983494162696218
2.457286432160804,1.4781438433712,1.1984920724581714
2.4874371859296476,1.4794140754224783,1.1986224062795374
2.517587939698492,1.480610964984474,1.1987414809446921
2.5477386934673367,1.481738692516748,1.198850268121339
2.5778894472361804,1.482801206334596,1.198949655783788
2.608040201005025,1.483802234803041,1.199040455395015
2.6381909547738687,1.4847452979706142,1.199123408476834
2.6683417085427132,1.4856337186590423,1.1991991926195793
2.698492462311558,1.4864706330257862,1.1992684269784912
2.7286432160804015,1.4872590006169673,1.199331677300144
2.758793969849246,1.4880016139286245,1.1993894605186615
2.7889447236180906,1.4887011074944696,1.1994422489581913
2.8190954773869343,1.4893599665183883,1.199490474175069
2.849246231155779,1.4899805350698934,1.199534530470313
2.8793969849246226,1.4905650238605848,1.1995747781005357
2.909547738693467,1.4911155176194335,1.1996115462129837
2.9396984924623117,1.491633982084397,1.199645135528272
2.9698492462311554,1.4921222706274992,1.1996758207923768
3.0,1.4925821305300957,1.199703853017633
