C_tariff,H_star
0.1,0.741415686865115
0.1285714285714286,0.7213859779714367
0.15714285714285714,0.7037185226229792
0.18571428571428572,0.6879144452743052
0.2142857142857143,0.6736179183036565
0.24285714285714285,0.660566211755212
0.27142857142857146,0.6485598056041815
0.3,0.6374436097811232
0.32857142857142857,0.6270946790580805
0.3571428571428571,0.6174139008874449
0.3857142857142857,0.6083202076149796
0.41428571428571426,0.5997464455389874
0.44285714285714284,0.591636362348446
0.4714285714285714,0.5839423681903134
0.5,0.5766238435648986
0.5285714285714286,0.5696458412196647
0.5571428571428572,0.5629780768340396
0.5857142857142857,0.5565941346712202
0.6142857142857142,0.550470835493182
0.6428571428571428,0.5445877285201898
0.6714285714285714,0.5389266793227627
0.7,0.5334715326971314
0.7285714285714285,0.528207834725441
0.7571428571428571,0.5231226019740888
0.7857142857142857,0.5182041285506401
0.8142857142857143,0.513441823803453
0.8428571428571429,0.50882607500344
0.8714285714285713,0.5043481305309878
0.8999999999999999,0.5
0.9285714285714285,0.49577436845499556
0.9571428571428571,0.4916645223267784
0.9857142857142857,0.4876642852644542
1.0142857142857142,0.48376796230396507
1.042857142857143,0.4799702911063216
1.0714285714285714,0.47626639921776587
1.1,0.4726517664809068
1.1285714285714286,0.4691221918693777
1.1571428571428573,0.46567376413567285
1.1857142857142857,0.4623028357578641
1.2142857142857144,0.4590059997500478
1.2428571428571429,0.45578006896690326
1.2714285714285716,0.4526220575872284
1.3,0.44952916450681807
1.3285714285714285,0.4464987584091901
1.3571428571428572,0.44352836431476317
1.3857142857142857,0.44061565143619796
1.4142857142857144,0.43775842219059374
1.4428571428571428,0.4349546022387709
1.4714285714285715,0.4322022314385414
1.5,0.4294994556131396
