Frequency,RacRdcNormal,RacRdcDegraded
50.0,1.05,1.09
74.74747474747474,1.0810068657789667,1.1517948322219906
99.4949494949495,1.1141740067595918,1.2201521091159924
124.24242424242425,1.1490492857930719,1.293854533790415
148.989898989899,1.1853506826967755,1.3721220263837515
173.73737373737373,1.2228834912382116,1.4544046132438846
198.4848484848485,1.2615042980505697,1.5402901772922823
223.23232323232324,1.301102591961912,1.6294564768497617
247.97979797979798,1.3415903248996655,1.7216434867589898
272.72727272727275,1.38289551789585,1.816636231464006
297.47474747474746,1.4249581126720632,1.9142535170102863
322.22222222222223,1.4677271557068847,2.0143402027005277
346.969696969697,1.5111588157422826,2.1167617089753232
371.7171717171717,1.5552149453793884,2.221399998429039
396.4646464646465,1.5998620107036006,2.3281505615517624
421.2121212121212,1.6450702774177168,2.436920108099909
445.95959595959596,1.6908131803955317,2.547624766617534
470.7070707070707,1.737066827335503,2.6601886579269367
495.45454545454544,1.7838096023765848,2.7745427491137713
520.2020202020202,1.8310218455150888,2.8906239214495617
544.9494949494949,1.8786855903824042,3.008374203935285
569.6969696969697,1.9267843475719668,3.1277401367816338
594.4444444444445,1.975302923954759,3.248672238060436
619.1919191919192,2.024227270746643,3.371124553169633
643.939393939394,2.073544354778957,3.495054271430959
668.6868686868687,2.123242048667998,3.620421397601936
693.4343434343434,2.1733090365081935,3.7471884686809083
718.1818181818181,2.223734732416151,3.8753203083551777
742.929292929293,2.274509209789736,4.004783812955303
767.6767676767677,2.325623139560956,4.13554776395153
792.4242424242424,2.377067736044814,4.267582662946337
817.1717171717172,2.4288347092405727,4.400860585841611
841.9191919191919,2.4809162226436445,4.535355053435815
866.6666666666666,2.5333048557875273,4.67104091616887
891.4141414141415,2.585993570865007,4.807894251106037
916.1616161616162,2.638975682883027,4.945892269555667
940.9090909090909,2.692244832891446,5.085013233964153
965.6565656565657,2.7457949638962664,5.2252363829357265
990.4040404040404,2.7996202991260155,5.366541863393976
1015.1515151515151,2.8537153223681475,5.508910669042564
1039.8989898989898,2.9080747601324703,5.652324584400249
1064.6464646464647,2.962693565432274,5.796766133784083
1089.3939393939395,3.0175669030021326,5.942218534697945
1114.141414141414,3.072690135795275,6.088665655154197
1138.888888888889,3.12805881262372,6.236091974516217
1163.6363636363637,3.1836686568216517,6.384482547500855
1188.3838383838383,3.239515555827325,6.533822971023807
1213.1313131313132,3.2955955515914224,6.684099353608617
1237.878787878788,3.3519048317307596,6.835298287112643
1262.6262626262626,3.4084397213556183,6.98740682055153
1287.3737373737374,3.465196675507203,7.140412435828231
1312.121212121212,3.522172272148766,7.294303025193891
1336.8686868686868,3.5793632056601883,7.449066870286633
1361.6161616161617,3.6367662807911567,7.604692622610463
1386.3636363636363,3.6943784070328647,7.761169285330944
1411.111111111111,3.7521965933722825,7.918486196276801
1435.858585858586,3.8102179433967307,8.076633012047754
1460.6060606060605,3.8684396507197163,8.235599693138719
1485.3535353535353,3.9268589947018553,8.395376489999222
1510.1010101010102,3.9854733364432273,8.55595392995453
1534.8484848484848,4.0442801150257734,8.71732280492201
1559.5959595959596,4.103276843986357,8.879474159862244
1584.3434343434344,4.162461108002873,9.042399281909978
1609.090909090909,4.221830559777398,9.206089690134831
1633.8383838383838,4.281382917101849,9.370537125886203
1658.5858585858587,4.341115960092791,9.535733543680571
1683.3333333333333,4.401027528583322,9.701671102593135
1708.080808080808,4.461115519660894,9.868342158118862
1732.828282828283,4.5213778853409154,10.035739254470853
1757.5757575757575,4.581812630366809,10.203855117286611
1782.3232323232323,4.642417810127977,10.37268264671523
1807.0707070707072,4.703191528687778,10.542214910860464
1831.8181818181818,4.7641319369142945,10.712445139556811
1856.5656565656566,4.825237230707209,10.88336671845742
1881.3131313131314,4.886505649314621,11.054973183414145
1906.060606060606,4.947935473734129,11.227258215131783
1930.8080808080808,5.0095250251929215,11.40021563407963
1955.5555555555557,5.071272663701983,11.573839395644827
1980.3030303030303,5.133176786679939,11.748123585513152
2005.050505050505,5.195235827642346,11.92306241526381
2029.7979797979797,5.257448254952522,12.098650218165774
2054.5454545454545,5.319812570630353,12.274881445164189
2079.2929292929293,5.382327309215673,12.451750661045917
2104.040404040404,5.444991036683134,12.629252540774353
2128.787878787879,5.507802349405636,12.807381865983979
2153.5353535353534,5.570759873163598,12.98613352162601
2178.282828282828,5.63386226219756,13.16550249275694
2203.030303030303,5.697108198301729,13.345483861462286
2227.777777777778,5.760496389956264,13.526072803908463
2252.5252525252527,5.824025571496246,13.707264587516045
2277.2727272727275,5.88769450231537,13.889054568248108
2302.020202020202,5.951501966102576,14.071438188007827
2326.7676767676767,6.015446770109888,14.254410972139745
2351.5151515151515,6.0795277444498765,14.43796852702954
2376.2626262626263,6.143743741421269,14.622106537797437
2401.010101010101,6.208093634861261,14.806820766080621
2425.757575757576,6.27257631952323,14.99210704790037
2450.5050505050503,6.337190710478595,15.177961291609835
2475.252525252525,6.401935742541674,15.364379475918616
2500.0,6.46681036971639,15.551357647990544
