RealUncomp,ImagUncomp,RealComp,ImagComp
-0.3999999999999999,0.0,-0.19999999999999996,0.0
-0.4003987286990609,0.025254839811848423,-0.20019936434953045,0.012627419905924211
-0.4015945173348052,0.05048450505013892,-0.2007972586674026,0.02524225252506946
-0.4035861739191151,0.07566384623587596,-0.20179308695955755,0.03783192311793798
-0.40637171312539366,0.10076776405417405,-0.20318585656269683,0.050383882027087025
-0.4099483582675809,0.12577123437380064,-0.20497417913379046,0.06288561718690032
-0.41431254406801554,0.15064933319177432,-0.20715627203400777,0.07532466659588716
-0.419459920211381,0.17537726147815308,-0.2097299601056905,0.08768863073907654
-0.4253853556811942,0.19993036989624668,-0.2126926778405971,0.09996518494812334
-0.4320829438745143,0.22428418337361156,-0.21604147193725715,0.11214209168680578
-0.43954600848977354,0.24841442549933507,-0.21977300424488677,0.12420721274966753
-0.44776711018185944,0.27229704272329025,-0.22388355509092972,0.13614852136164513
-0.4567380539778154,0.29590822833323743,-0.2283690269889077,0.14795411416661872
-0.4664498974457689,0.3192244461858728,-0.23322494872288446,0.1596122230929364
-0.47689295960894107,0.3422224541681677,-0.23844647980447053,0.17111122708408386
-0.4880568305958557,0.3648793273656128,-0.24402841529792785,0.1824396636828064
-0.4999303820171249,0.387172480914271,-0.24996519100856246,0.1935862404571355
-0.5125017780584703,0.4090796925138614,-0.25625088902923515,0.2045398462569307
-0.5257584872789194,0.43057912457943087,-0.2628792436394597,0.21528956228971544
-0.539687295102419,0.4516493460095345,-0.2698436475512095,0.22582467300476725
-0.5542743169904116,0.4722693535492227,-0.2771371584952058,0.23613467677461136
-0.569505012282246,0.4924185927265434,-0.284752506141123,0.2462092963632717
-0.5853641986896233,0.5120769783416858,-0.29268209934481165,0.2560384891708429
-0.6018360674306326,0.531224914488345,-0.3009180337153163,0.2656124572441725
-0.6189041989882884,0.5498433140873474,-0.3094520994941442,0.2749216570436737
-0.6365515794778622,0.5679136179130663,-0.3182757897389311,0.28395680895653314
-0.6547606176066929,0.5854178130936615,-0.32738030880334645,0.29270890654683074
-0.6735131622095698,0.6023384510667017,-0.3367565811047849,0.30116922553335085
-0.692790520342209,0.6186586649722713,-0.3463952601711045,0.30932933248613564
-0.7125734759147866,0.6343621864662229,-0.3562867379573933,0.31718109323311144
-0.7328423088469549,0.6494333619368167,-0.36642115442347745,0.32471668096840833
-0.7535768147252477,0.6638571681085806,-0.37678840736262387,0.3319285840542903
-0.7747563249432787,0.6776192270178392,-0.38737816247163936,0.3388096135089196
