Freq,Normal,Fault
100.0,1.017724541526273,1.033457496237186
103.52941176470588,1.019021465006697,1.0359453598997757
107.05882352941177,1.0203667775694998,1.038531865971322
110.58823529411765,1.0217608416849198,1.0412183730051376
114.11764705882354,1.0232040343647089,1.0440063019455679
117.64705882352942,1.0246967474168323,1.0468971380361338
121.17647058823529,1.026239387711536,1.0498924328327457
124.70588235294117,1.0278323774591192,1.0529938063271047
128.23529411764707,1.0294761544997553,1.056202949185744
131.76470588235293,1.0311711726057422,1.059521625110531
135.29411764705884,1.0329179017965622,1.0629516733268256
138.8235294117647,1.03471682866716,1.0664950112059077
142.35294117647058,1.036568456729869,1.0701536370287241
145.88235294117646,1.0384733067704321,1.0739296328984735
149.41176470588235,1.040431917218585,1.0778251678100474
152.94117647058823,1.0424448445336982,1.0818425008848842
156.47058823529412,1.0445126636059938,1.0859839847803654
160.0,1.0466359681738746,1.0902520692834987
163.52941176470588,1.0488153712579398,1.094649305099292
167.05882352941177,1.0510515056122756,1.099178347844926
170.58823529411765,1.0533450241936486,1.1038419622615967
174.11764705882354,1.0556966006492547,1.1086430266567067
177.6470588235294,1.0581069298237074,1.1135845375899642
181.1764705882353,1.060576728285984,1.118669614817883
184.70588235294116,1.063106734877082,1.1239015065121873
188.23529411764707,1.0656977112791766,1.1292835947687168
191.76470588235293,1.0683504426071024,1.1348194014245871
195.29411764705884,1.0710657380230288,1.140512594202631
198.8235294117647,1.0738444313752378,1.146366993203486
202.35294117647058,1.076687381861957,1.1523865777671707
205.88235294117646,1.0795954747212462,1.158575493727562
209.41176470588235,1.0825696219479866,1.1649380610848765
212.94117647058823,1.0856107630390732,1.1714787821231052
216.47058823529412,1.0887198657679622,1.1782023500013243
220.0,1.0918979269897837,1.1851136578499433
223.52941176470588,1.095145973478291,1.1922178084052608
227.05882352941177,1.098465062795979,1.199520124218201
230.58823529411765,1.10185628419877,1.2070261584757913
234.11764705882354,1.105320759576738,1.214741706476883
237.64705882352942,1.108859644432412,1.2226728178067505
241.1764705882353,1.1124741288982816,1.2308258092586486
244.70588235294116,1.1161654387952038,1.239207278554098
248.23529411764704,1.1199348367335038,1.2478241189176795
251.76470588235293,1.1237836232586436,1.2566835345664675
