Freq_Hz,Spec_Ideal_pu,Spec_3P_pu
48.5,0.001109877913429523,0.0012920526791736944
48.503003003003,0.0011143302830180237,0.00129761482969924
48.506006006006004,0.0011188094879895562,0.0013032145048196865
48.509009009009006,0.0011233157443537177,0.001308852061457339
48.512012012012015,0.0011278492702971189,0.0013145278610638758
48.51501501501502,0.0011324102862097102,0.0013202422696941135
48.51801801801802,0.001136999014711593,0.001325995658081411
48.52102102102102,0.0011416156806801003,0.0013317884017144635
48.52402402402402,0.0011462605112773174,0.0013376208809157354
48.527027027027025,0.0011509337359779832,0.0013434934809214872
48.530030030030034,0.001155635586597801,0.0013494065919634614
48.533033033033036,0.0011603662973220996,0.0013553606093521893
48.53603603603604,0.0011651261047350141,0.0013613559335621647
48.53903903903904,0.0011699152478489765,0.001367392970318652
48.54204204204204,0.0011747339681346847,0.0013734721306863818
48.54504504504504,0.0011795825095514947,0.0013795938311600968
48.548048048048045,0.0011844611185782483,0.001385758493757004
48.551051051051054,0.0011893700442445626,0.0013919665461112063
48.554054054054056,0.0011943095381625117,0.0013982184215700646
48.55705705705706,0.0011992798545588893,0.0014045145592927705
48.56006006006006,0.0012042812503078202,0.0014108554043508826
48.56306306306306,0.00120931398496391,0.0014172414078311064
48.566066066066064,0.0012143783207958657,0.0014236730269402826
48.569069069069066,0.0012194745228206114,0.0014301507251126577
48.572072072072075,0.0012246028588379135,0.0014366749721195107
48.57507507507508,0.0012297635994654589,0.0014432462441811077
48.57807807807808,0.0012349570181745698,0.0014498650240812759
48.58108108108108,0.0012401833913263255,0.0014565318012843564
48.58408408408408,0.00124544299820828,0.001463247072054832
48.587087087087085,0.0012507361210717125,0.0014700113395796108
48.590090090090094,0.0012560630451694445,0.0014768251140930635
48.593093093093096,0.0012614240587941576,0.0014836889130047965
48.5960960960961,0.0012668194533174107,0.0014906032610304766
48.5990990990991,0.0012722495232291129,0.0014975686903254612
48.6021021021021,0.001277714566177655,0.001504585740621564
48.6051051051051,0.0012832148830106283,0.0015116549593669332
48.608108108108105,0.0012887507778161602,0.0015187769018691543
48.611111111111114,0.0012943225579648836,0.0015259521314416767
48.614114114114116,0.001299930534152479,0.0015331812195535572
48.61711711711712,0.0013055750204429906,0.001540464745982871
48.62012012012012,0.0013112563343126715,0.0015478032989735462
48.62312312312312,0.00131697479669456,0.0015551974753959784
