Aging,H11,H13
0.0,0.02,0.015
0.1111111111111111,0.02185185185185185,0.015766343493291535
0.2222222222222222,0.02523782800878924,0.01766856303905306
0.3333333333333333,0.029622504486493763,0.020536581953846743
0.4444444444444444,0.03481481481481481,0.024292476227355444
0.5555555555555556,0.040704333124998056,0.02888575448323574
0.6666666666666666,0.04721655269759087,0.03427949815462575
0.7777777777777777,0.05429677625454099,0.04044485300892184
0.8888888888888888,0.061902624070313925,0.0473582816565605
1.0,0.07,0.055
