Time_s,Torque_Ideal_pu,Torque_3P_pu
0.0,1.0,0.85
0.005005005005005005,1.0,0.850026700515629
0.01001001001001001,1.0,0.850106792556949
0.015015015015015015,1.0,0.8502402476106425
0.02002002002002002,1.0,0.850427018165793
0.025025025025025023,1.0,0.8506670377307988
0.03003003003003003,1.0,0.8509602208570446
0.035035035035035036,1.0,0.8513064631693217
0.04004004004004004,1.0,0.8517056414029867
0.04504504504504504,1.0,0.8521576134478437
0.050050050050050046,1.0,0.8526622183987378
0.055055055055055056,1.0,0.853219276612837
0.06006006006006006,1.0,0.8538285897735876
0.06506506506506507,1.0,0.8544899409613149
0.07007007007007007,1.0,0.8552030947304495
0.07507507507507508,1.0,0.8559677971933466
0.08008008008008008,1.0,0.856783776110672
0.08508508508508508,1.0,0.8576507409883212
0.09009009009009009,1.0,0.8585683831808374
0.09509509509509509,1.0,0.8595363760012912
0.10010010010010009,1.0,0.8605543748375835
0.10510510510510511,1.0,0.8616220172751297
0.11011011011011011,1.0,0.8627389232258821
0.11511511511511512,1.0,0.8639046950636433
0.12012012012012012,1.0,0.8651189177656244
0.12512512512512514,1.0,0.8663811590601957
0.13013013013013014,1.0,0.8676909695807783
0.13513513513513514,1.0,0.8690478830258218
0.14014014014014015,1.0,0.8704514163248109
0.14514514514514515,1.0,0.8719010698102418
0.15015015015015015,1.0,0.8733963273955074
0.15515515515515516,1.0,0.8749366567586273
0.16016016016016016,1.0,0.8765215095317582
0.16516516516516516,1.0,0.8781503214964171
0.17017017017017017,1.0,0.8798225127843464
0.17517517517517517,1.0,0.8815374880839512
0.18018018018018017,1.0,0.8832946368522341
0.18518518518518517,1.0,0.8850933335321534
0.19019019019019018,1.0,0.8869329377753246
0.19519519519519518,1.0,0.88881279466999
0.20020020020020018,1.0,0.8907322349741709
0.20520520520520522,1.0,0.8926905753539227
0.21021021021021022,1.0,0.8946871186266067
0.21521521521521522,1.0,0.8967211540090912
0.22022022022022023,1.0,0.8987919573707961
0.22522522522522523,1.0,0.9008987914914878
0.23023023023023023,1.0,0.9030409063237347
0.23523523523523523,1.0,0.9052175392599292
0.24024024024024024,1.0,0.9074279154037818
0.24524524524524524,1.0,0.9096712478461886
0.2502502502502503,1.0,0.9119467379453773
0.2552552552552553,1.0,0.9142535756112282
0.2602602602602603,1.0,0.9165909395936729
0.2652652652652653,1.0,0.9189579977750639
0.2702702702702703,1.0,0.9213539074664152
0.2752752752752753,1.0,0.9237778157074046
0.2802802802802803,1.0,0.9262288595700338
0.2852852852852853,1.0,0.9287061664658365
0.2902902902902903,1.0,0.9312088544565263
0.2952952952952953,1.0,0.9337360325679726
0.3003003003003003,1.0,0.9362868011073928
0.3053053053053053,1.0,0.9388602519836506
0.3103103103103103,1.0,0.9414554690305412
0.3153153153153153,1.0,0.9440715283329537
0.3203203203203203,1.0,0.946707498555791
0.3253253253253253,1.0,0.9493624412755312
0.3303303303303303,1.0,0.9520354113143132
0.3353353353353353,1.0,0.9547254570764265
0.34034034034034033,1.0,0.9574316208870856
0.34534534534534533,1.0,0.9601529393333685
0.35035035035035034,1.0,0.9628884436071996
0.35535535535535534,1.0,0.9656371598502506
0.36036036036036034,1.0,0.9683981095006411
0.36536536536536535,1.0,0.9711703096413141
0.37037037037037035,1.0,0.9739527733499604
0.37537537537537535,1.0,0.9767445100503703
0.38038038038038036,1.0,0.979544525865085
0.38538538538538536,1.0,0.9823518239692243
0.39039039039039036,1.0,0.9851654049453625
0.39539539539539537,1.0,0.987984267139329
0.40040040040040037,1.0,0.9908074070168026
0.40540540540540543,1.0,0.9936338195205778
0.41041041041041043,1.0,0.9964624984283715
0.41541541541541543,1.0,0.9992924367110453
0.42042042042042044,1.0,1.0021226268911143
0.42542542542542544,1.0,1.0049520614014171
0.43043043043043044,1.0,1.0077797329438152
0.43543543543543545,1.0,1.0106046348477993
0.44044044044044045,1.0,1.01342576142887
0.44544544544544545,1.0,1.0162421083465694
0.45045045045045046,1.0,1.019052672962032
0.45545545545545546,1.0,1.0218564546949318
0.46046046046046046,1.0,1.024652455379696
0.46546546546546547,1.0,1.027439679620858
0.47047047047047047,1.0,1.0302171351474259
0.4754754754754755,1.0,1.0329838331661367
0.4804804804804805,1.0,1.0357387887134748
0.4854854854854855,1.0,1.038481021006325
0.4904904904904905,1.0,1.0412095537911374
0.4954954954954955,1.0,1.0439234156914825
0.5005005005005005,1.0,1.0466216405538658
0.5055055055055055,1.0,1.0493032677916854
0.5105105105105106,1.0,1.0519673427272085
0.5155155155155156,1.0,1.0546129169314427
0.5205205205205206,1.0,1.0572390485617824
0.5255255255255256,1.0,1.0598448026973124
0.5305305305305306,1.0,1.0624292516716463
0.5355355355355356,1.0,1.0649914754031804
0.5405405405405406,1.0,1.067530561722651
0.5455455455455456,1.0,1.0700456066978723
0.5505505505505506,1.0,1.0725357149555417
0.5555555555555556,1.0,1.075
0.5605605605605606,1.0,1.0774375845288293
0.5655655655655656,1.0,1.079847600745179
0.5705705705705706,1.0,1.0822291906667065
0.5755755755755756,1.0,1.0845815064310267
0.5805805805805806,1.0,1.086903710597555
0.5855855855855856,1.0,1.089194976445643
0.5905905905905906,1.0,1.0914544882688961
0.5955955955955956,1.0,1.093681441665571
0.6006006006006006,1.0,1.0958750438249478
0.6056056056056056,1.0,1.0980345138095768
0.6106106106106106,1.0,1.1001590828332972
0.6156156156156156,1.0,1.10224799453493
0.6206206206206206,1.0,1.1043005052475476
0.6256256256256256,1.0,1.1063158842632257
0.6306306306306306,1.0,1.1082934140931786
0.6356356356356356,1.0,1.1102323907231915
0.6406406406406406,1.0,1.112132123864253
0.6456456456456456,1.0,1.1139919371983047
0.6506506506506506,1.0,1.1158111686190129
0.6556556556556556,1.0,1.117589170467485
0.6606606606606606,1.0,1.1193253097628384
0.6656656656656657,1.0,1.1210189684275487
0.6706706706706707,1.0,1.1226695435074867
0.6756756756756757,1.0,1.1242764473865763
0.6806806806806807,1.0,1.125839107995989
0.6856856856856857,1.0,1.1273569690178047
0.6906906906906907,1.0,1.128829490083064
0.6956956956956957,1.0,1.130256146964144
0.7007007007007007,1.0,1.1316364317613867
0.7057057057057057,1.0,1.1329698530839147
0.7107107107107107,1.0,1.13425593622457
0.7157157157157157,1.0,1.135494223328913
0.7207207207207207,1.0,1.1366842735582203
0.7257257257257257,1.0,1.1378256632464294
0.7307307307307307,1.0,1.138917986050964
0.7357357357357357,1.0,1.1399608530973957
0.7407407407407407,1.0,1.1409538931178862
0.7457457457457457,1.0,1.1418967525833614
0.7507507507507507,1.0,1.142789095829369
0.7557557557557557,1.0,1.1436306051755787
0.7607607607607607,1.0,1.1444209810388777
0.7657657657657657,1.0,1.145159942040025
0.7707707707707707,1.0,1.1458472251038234
0.7757757757757757,1.0,1.1464825855527774
0.7807807807807807,1.0,1.147065797194199
0.7857857857857857,1.0,1.1475966524007342
0.7907907907907907,1.0,1.1480749621842798
0.7957957957957957,1.0,1.1485005562632646
0.8008008008008007,1.0,1.1488732831232702
0.8058058058058059,1.0,1.1491930100709722
0.8108108108108109,1.0,1.149459623281379
0.8158158158158159,1.0,1.1496730278383547
0.8208208208208209,1.0,1.1498331477684096
0.8258258258258259,1.0,1.1499399260677483
0.8308308308308309,1.0,1.1499933247225615
0.8358358358358359,1.0,1.1499933247225615
0.8408408408408409,1.0,1.1499399260677483
0.8458458458458459,1.0,1.1498331477684096
0.8508508508508509,1.0,1.1496730278383547
0.8558558558558559,1.0,1.149459623281379
0.8608608608608609,1.0,1.1491930100709722
0.8658658658658659,1.0,1.1488732831232702
0.8708708708708709,1.0,1.1485005562632646
0.8758758758758759,1.0,1.1480749621842798
0.8808808808808809,1.0,1.1475966524007342
0.8858858858858859,1.0,1.147065797194199
0.8908908908908909,1.0,1.1464825855527774
0.8958958958958959,1.0,1.1458472251038234
0.9009009009009009,1.0,1.1451599420400247
0.9059059059059059,1.0,1.1444209810388777
0.9109109109109109,1.0,1.1436306051755787
0.9159159159159159,1.0,1.142789095829369
0.9209209209209209,1.0,1.1418967525833614
0.9259259259259259,1.0,1.1409538931178862
0.9309309309309309,1.0,1.1399608530973957
0.9359359359359359,1.0,1.138917986050964
0.9409409409409409,1.0,1.1378256632464294
0.9459459459459459,1.0,1.1366842735582203
0.950950950950951,1.0,1.135494223328913
0.955955955955956,1.0,1.13425593622457
0.960960960960961,1.0,1.1329698530839147
0.965965965965966,1.0,1.1316364317613865
0.970970970970971,1.0,1.130256146964144
0.975975975975976,1.0,1.128829490083064
0.980980980980981,1.0,1.1273569690178047
0.985985985985986,1.0,1.125839107995989
0.990990990990991,1.0,1.1242764473865763
0.995995995995996,1.0,1.1226695435074867
1.001001001001001,1.0,1.1210189684275487
1.006006006006006,1.0,1.1193253097628384
1.011011011011011,1.0,1.1175891704674847
1.016016016016016,1.0,1.1158111686190129
1.021021021021021,1.0,1.1139919371983045
1.026026026026026,1.0,1.112132123864253
1.031031031031031,1.0,1.1102323907231912
1.0360360360360361,1.0,1.1082934140931786
1.0410410410410411,1.0,1.1063158842632257
1.0460460460460461,1.0,1.1043005052475476
1.0510510510510511,1.0,1.10224799453493
1.0560560560560561,1.0,1.1001590828332972
1.0610610610610611,1.0,1.0980345138095768
1.0660660660660661,1.0,1.0958750438249476
1.0710710710710711,1.0,1.0936814416655707
1.0760760760760761,1.0,1.091454488268896
1.0810810810810811,1.0,1.089194976445643
1.0860860860860861,1.0,1.086903710597555
1.0910910910910911,1.0,1.0845815064310265
1.0960960960960962,1.0,1.0822291906667063
1.1011011011011012,1.0,1.0798476007451787
1.1061061061061062,1.0,1.0774375845288293
1.1111111111111112,1.0,1.075
1.1161161161161162,1.0,1.0725357149555415
1.1211211211211212,1.0,1.070045606697872
1.1261261261261262,1.0,1.067530561722651
1.1311311311311312,1.0,1.0649914754031802
1.1361361361361362,1.0,1.062429251671646
